id,node_id,position
6333487,53024577,0
6333487,53040353,1
6333487,53040354,2
6334021,53041804,0
6334021,4737709208,1
6334021,349895776,2
6334021,349895786,3
6334021,4737709201,4
6334021,349895787,5
6334021,4737709198,6
6334021,53041805,7
6334021,53041806,8
6334498,53043298,0
6334498,678343542,1
6334498,384253909,2
6334498,678343558,3
6334498,678343559,4
6334498,53043299,5
6335045,53044748,0
6335045,53044749,1
6335045,53044752,2
6335045,53044753,3
6335045,261695355,4
6335045,261695356,5
6335045,261695357,6
6335045,53044755,7
6335045,53044758,8
6335045,53044760,9
6335045,53044762,10
6335045,53044764,11
6335045,53044766,12
6335045,53044767,13
6335045,261695440,14
6335045,261695441,15
6335045,261695442,16
6335045,261695443,17
6335045,261695444,18
6335045,261695445,19
6335045,261695446,20
6335045,261695447,21
6335045,261695448,22
6335045,53044770,23
6335564,53046420,0
6335564,53046421,1
6335954,53047817,0
6335954,3701722545,1
6335954,53047819,2
6335954,53045688,3
6335954,53047820,4
6335954,261215437,5
6335954,712795939,6
6335954,261215432,7
6336527,53049799,0
6336527,441527659,1
6337038,53041913,0
6337038,3123445250,1
6337038,2427025906,2
6337038,3641465023,3
6337038,354834693,4
6337038,3641465020,5
6337038,3641465018,6
6337038,3641465017,7
6337038,3641465015,8
6337038,3641465013,9
6337038,3641465011,10
6337038,3641465009,11
6337038,3641465008,12
6337038,3641465006,13
6337038,3641465005,14
6337038,3641465007,15
6337038,3641465010,16
6337038,3641465012,17
6337038,3641465014,18
6337038,3641465016,19
6337038,3641465019,20
6337038,3641465021,21
6337038,3641465022,22
6337038,3641465023,23
6338015,53054816,0
6338015,740553052,1
6338015,53054818,2
6338015,899743215,3
6338015,740553055,4
6338015,53054820,5
6338015,740553058,6
6338539,53056284,0
6338539,53056285,1
6339065,53057592,0
6339065,53057593,1
6339065,266910824,2
6339065,99333228,3
6339065,4329254578,4
6339065,53057594,5
6339717,53039629,0
6339717,53059540,1
6340370,53061212,0
6340370,4308121077,1
6340930,53062504,0
6340930,1683572172,1
6341569,53024326,0
6341569,660037296,1
6342071,53065491,0
6342071,53065492,1
6342071,4676956339,2
6342071,4676954504,3
6342684,53064423,0
6342684,53066737,1
6342684,53066739,2
6342684,53066741,3
6342684,826972770,4
6342684,53055800,5
6342684,53066743,6
6342684,373655608,7
6343690,53068414,0
6343690,1234594549,1
6343690,712660852,2
6343690,1234594637,3
6343690,712660855,4
6343690,712660857,5
6343690,712660504,6
6343690,1234594578,7
6343690,712660519,8
6343690,1234594588,9
6343690,1234594656,10
6343690,712660555,11
6343690,53068416,12
6343690,3123629226,13
6343690,53068418,14
6343690,53013883,15
6343690,53068420,16
6344500,53070147,0
6344500,354833461,1
6344500,53070148,2
6344952,53072618,0
6344952,53072619,1
6344952,53072621,2
6345307,53073929,0
6345307,53073931,1
6345783,53075608,0
6345783,2064159440,1
6345783,53075612,2
6345783,2064159522,3
6345783,53075615,4
6346201,53000025,0
6346201,1013800379,1
6346201,53000029,2
6346201,1013800360,3
6346201,1013800394,4
6346201,53077238,5
6346201,53077240,6
6346201,53077242,7
6346201,610811571,8
6346201,53077243,9
6346201,1013800376,10
6346201,53048696,11
6346201,2286922867,12
6346201,2286922869,13
6346520,53031594,0
6346520,354826154,1
6346520,53078419,2
6346520,53078420,3
6346520,354826173,4
6346520,354826155,5
6346520,53070554,6
6346979,53055984,0
6346979,53080237,1
6346979,1414327465,2
6346979,53080241,3
6346979,53080243,4
6346979,53080244,5
6346979,53080246,6
6346979,53080248,7
6346979,53080250,8
6346979,53080251,9
6346979,53068881,10
6346979,53080252,11
6346979,53028095,12
6346979,53066265,13
6346979,614553163,14
6346979,53040488,15
6346979,53029448,16
6346979,53080257,17
6346979,53023489,18
6346979,826973401,19
6346979,826973404,20
6346979,53075765,21
6347317,53081355,0
6347317,53081353,1
6347317,702970612,2
6347317,431033791,3
6347317,3358618062,4
6347317,431033789,5
6347317,702970601,6
6347317,431033787,7
6347317,53081352,8
6347317,260706487,9
6347317,53081350,10
6347671,53082722,0
6347671,53082724,1
6348011,53084120,0
6348011,53084122,1
6348011,53070511,2
6348378,53085648,0
6348378,53060130,1
6349302,53087021,0
6349302,53070147,1
6350636,53088666,0
6350636,53088668,1
6350636,651328207,2
6350636,651328211,3
6350636,651328215,4
6350636,297705641,5
6350636,651328383,6
6350636,53069585,7
6352128,52995143,0
6352128,678966420,1
6352128,3971754983,2
6353137,53091664,0
6353137,386142810,1
6353137,53091665,2
6354158,53077303,0
6354158,441994419,1
6354158,4888006710,2
6354158,4888006711,3
6354158,4888006712,4
6354158,354802616,5
6354158,4888006669,6
6354158,53092840,7
6354158,4888006716,8
6354158,4888006715,9
6354158,354802293,10
6354158,2230191566,11
6354158,4888006714,12
6354158,53092839,13
6354158,4888006713,14
6354158,2230191580,15
6354158,354802289,16
6355113,53094043,0
6355113,4183922065,1
6355113,283261567,2
6356700,53096176,0
6356700,53050828,1
6357792,274400862,0
6357792,53097552,1
6357792,2972380857,2
6358926,53092234,0
6358926,1212924259,1
6358926,53098894,2
6358926,1212924265,3
6358926,53098897,4
6359978,53019138,0
6359978,263187532,1
6359978,263187530,2
6359978,53100250,3
6359978,4225207000,4
6359978,308301432,5
6359978,4225207012,6
6360857,53100867,0
6360857,53055768,1
6360857,53101299,2
6360857,53101302,3
6360857,53072931,4
6360857,53101304,5
6362057,53088938,0
6362057,2882706107,1
6362057,4590428808,2
6362990,53103802,0
6362990,4240959852,1
6362990,3221161746,2
6362990,3695625523,3
6362990,4207718076,4
6362990,2086667333,5
6362990,259581499,6
6363943,53105095,0
6363943,53064912,1
6363943,53072667,2
6364959,255483099,0
6364959,2389228026,1
6364959,2389228027,2
6364959,2389228025,3
6364959,2389228028,4
6364959,2468396832,5
6364959,53106512,6
6364959,4148038603,7
6364959,255482815,8
6364959,4148038496,9
6364959,53032770,10
6364959,53076133,11
6365936,53029847,0
6365936,661994596,1
