id,key,value,type
6348011,name,Oakcrest Drive,regular
6348011,cfcc,A41,tiger
6348011,county,"Alameda, CA",tiger
6348011,name_base,Oakcrest,tiger
6348011,name_type,Dr,tiger
6348011,reviewed,no,tiger
6348378,highway,residential,regular
6348378,name,Dorking Court,regular
6348378,cfcc,A41,tiger
6348378,county,"Alameda, CA",tiger
6348378,name_base,Dorking,tiger
6348378,name_type,Ct,tiger
6348378,reviewed,no,tiger
6349302,highway,residential,regular
6349302,name,Bradley Street,regular
6349302,cfcc,A41,tiger
6349302,county,"Alameda, CA",tiger
6349302,name_base,Bradley,tiger
6349302,name_type,St,tiger
6349302,reviewed,no,tiger
6350636,highway,residential,regular
6350636,cfcc,A41,tiger
6350636,tlid,125025479,tiger
6350636,county,"Alameda, CA",tiger
6350636,source,tiger_import_dch_v0.6_20070809,tiger
6350636,reviewed,no,tiger
6350636,separated,no,tiger
6350636,upload_uuid,bulk_upload.pl-9d5e179e-e488-4300-b71d-b0a82eacb273,tiger
6352128,name,23rd Avenue Overpass,regular
6352128,lanes,2,regular
6352128,oneway,yes,regular
6352128,highway,secondary,regular
6352128,cfcc,A41,tiger
6352128,county,"Alameda, CA",tiger
6352128,name_base,23rd Av,tiger
6352128,name_type,Ovps,tiger
6353137,highway,residential,regular
6353137,name,Tanforan Court,regular
6353137,cfcc,A41,tiger
6353137,county,"Alameda, CA",tiger
6353137,name_base,Tanforan,tiger
6353137,name_type,Ct,tiger
6353137,reviewed,no,tiger
6354158,highway,residential,regular
6354158,name,Chronicle Avenue,regular
6354158,cfcc,A41,tiger
6354158,county,"Alameda, CA",tiger
6354158,name_base,Chronicle,tiger
6354158,name_type,Ave,tiger
6355113,highway,residential,regular
6355113,name,30th Street,regular
6355113,oneway,yes,regular
6355113,sidewalk,no,regular
6355113,cfcc,A41,tiger
6355113,county,"Alameda, CA",tiger
6355113,name_base,30th,tiger
6355113,name_type,St,tiger
6356700,highway,residential,regular
6356700,name,Charles Avenue,regular
6356700,cfcc,A41,tiger
6356700,county,"Alameda, CA",tiger
6356700,name_base,Charles,tiger
6356700,name_type,Ave,tiger
6356700,reviewed,no,tiger
6357792,name,Murmansk Street,regular
6357792,access,no,regular
6357792,highway,residential,regular
6357792,cfcc,A41,tiger
6357792,county,"Alameda, CA",tiger
6357792,name_base,Murmansk,tiger
6357792,name_type,St,tiger
6358926,highway,residential,regular
6358926,name,Lucas Avenue,regular
6358926,cfcc,A41,tiger
6358926,county,"Alameda, CA",tiger
6358926,name_base,Lucas,tiger
6358926,name_type,Ave,tiger
6358926,reviewed,no,tiger
6359978,city,Berkeley,addr
6359978,highway,residential,regular
6359978,maxspeed,25 mph,regular
6359978,name,Northside Avenue,regular
6359978,sidewalk,both,regular
6359978,cfcc,A41,tiger
6359978,county,"Alameda, CA",tiger
6359978,name_base,Northside,tiger
6359978,name_type,Ave,tiger
6359978,reviewed,yes,tiger
6360857,highway,residential,regular
6360857,name,Beverly Avenue,regular
6360857,cfcc,A41,tiger
6360857,county,"Alameda, CA",tiger
6360857,name_base,Beverly,tiger
6360857,name_type,Ave,tiger
6360857,reviewed,no,tiger
6362057,highway,residential,regular
6362057,name,Olive Street,regular
6362057,sidewalk,both,regular
6362057,cfcc,A41,tiger
6362057,county,"Alameda, CA",tiger
6362057,name_base,Olive,tiger
6362057,name_type,St,tiger
6362057,reviewed,no,tiger
6362990,foot,yes,regular
6362990,highway,residential,regular
6362990,maxspeed,25 mph,regular
6362990,name,Durant Avenue,regular
6362990,sidewalk,both,regular
6362990,cfcc,A41,tiger
6362990,county,"Alameda, CA",tiger
6362990,name_base,Durant,tiger
6362990,name_type,Ave,tiger
6363943,highway,residential,regular
6363943,name,Evans Court,regular
6363943,cfcc,A41,tiger
6363943,county,"Alameda, CA",tiger
6363943,name_base,Evans,tiger
6363943,name_type,Ct,tiger
6363943,reviewed,no,tiger
6364959,highway,residential,regular
6364959,name,East 10th Street,regular
6364959,cfcc,A41,tiger
6364959,county,"Alameda, CA",tiger
6364959,name_base,10th,tiger
6364959,name_direction_prefix,E,tiger
6364959,name_type,St,tiger
6364959,reviewed,no,tiger
6365936,highway,residential,regular
6365936,name,Oakwood Court,regular
6365936,note,TODO: does this path go somewhere?,regular
6365936,cfcc,A41,tiger
6365936,county,"Alameda, CA",tiger
6365936,name_base,Oakwood,tiger
6365936,name_type,Ct,tiger
6365936,reviewed,no,tiger
6366730,highway,residential,regular
6366730,name,Lavagetto Court,regular
6366730,cfcc,A41,tiger
6366730,county,"Alameda, CA",tiger
6366730,name_base,Lavagetto,tiger
6366730,name_type,Ct,tiger
6368000,highway,residential,regular
6368000,name,Coral Reef Road,regular
6368000,cfcc,A41,tiger
6368000,county,"Alameda, CA",tiger
6368000,name_base,Coral Reef,tiger
6368000,name_type,Rd,tiger
6368000,reviewed,no,tiger
6369054,highway,residential,regular
6369054,name,Del Monte Way,regular
6369054,cfcc,A41,tiger
6369054,county,"Alameda, CA",tiger
6369054,name_base,Del Monte,tiger
6369054,name_type,Way,tiger
6369985,highway,residential,regular
6369985,name,Lake Oneida Street,regular
6369985,cfcc,A41,tiger
6369985,county,"Alameda, CA",tiger
6369985,name_base,Lake Oneida,tiger
6369985,name_type,St,tiger
6369985,reviewed,no,tiger
