id,key,value,type
10600896,county,"Stanislaus, CA",tiger
10600896,name_base,Val,tiger
10600896,name_type,Ln,tiger
10600896,reviewed,no,tiger
10600920,highway,residential,regular
10600920,name,Red Gum Court,regular
10600920,cfcc,A41,tiger
10600920,county,"Stanislaus, CA",tiger
10600920,name_base,Red Gum,tiger
10600920,name_type,Ct,tiger
10600920,reviewed,no,tiger
10601052,highway,residential,regular
10601052,name,McCord Way,regular
10601052,cfcc,A41,tiger
10601052,county,"Stanislaus, CA",tiger
10601052,name_base,McCord,tiger
10601052,name_type,Way,tiger
10601052,reviewed,no,tiger
10601070,highway,residential,regular
10601070,name,Kirbys Mill Drive,regular
10601070,cfcc,A41,tiger
10601070,county,"Stanislaus, CA",tiger
10601070,name_base,Kirbys Mill,tiger
10601070,name_type,Dr,tiger
10601070,reviewed,no,tiger
10601075,highway,residential,regular
10601075,name,North Street,regular
10601075,cfcc,A41,tiger
10601075,county,"Stanislaus, CA",tiger
10601075,name_base,North,tiger
10601075,name_type,St,tiger
10601075,reviewed,no,tiger
10601197,highway,residential,regular
10601197,name,Feather River Court,regular
10601197,cfcc,A41,tiger
10601197,county,"Stanislaus, CA",tiger
10601197,name_base,Feather River,tiger
10601197,name_type,Ct,tiger
10601197,reviewed,no,tiger
10601211,highway,residential,regular
10601211,name,Hilo Lane,regular
10601211,cfcc,A41,tiger
10601211,county,"Stanislaus, CA",tiger
10601211,name_base,Hilo,tiger
10601211,name_type,Ln,tiger
10601211,reviewed,no,tiger
10601218,highway,residential,regular
10601218,name,Ambleside Way,regular
10601218,cfcc,A41,tiger
10601218,county,"Stanislaus, CA",tiger
10601218,name_base,Ambleside,tiger
10601218,name_type,Way,tiger
10601218,reviewed,no,tiger
10601234,highway,residential,regular
10601234,name,Glider Court,regular
10601234,cfcc,A41,tiger
10601234,county,"Stanislaus, CA",tiger
10601234,name_base,Glider,tiger
10601234,name_type,Ct,tiger
10601234,reviewed,no,tiger
10601236,highway,residential,regular
10601236,name,Havertown Place,regular
10601236,cfcc,A41,tiger
10601236,county,"Stanislaus, CA",tiger
10601236,name_base,Havertown,tiger
10601236,name_type,Pl,tiger
10601236,reviewed,no,tiger
10601252,highway,residential,regular
10601252,name,Saint Sebastian Way,regular
10601252,cfcc,A41,tiger
10601252,county,"Stanislaus, CA",tiger
10601252,name_base,St Sebastian,tiger
10601252,name_type,Way,tiger
10601252,reviewed,no,tiger
10601252,separated,no,tiger
10601252,source,tiger_import_dch_v0.6_20070809,tiger
10601252,tlid,102643486:102644133,tiger
10601265,highway,residential,regular
10601265,name,Zena Way,regular
10601265,cfcc,A41,tiger
10601265,county,"Stanislaus, CA",tiger
10601265,name_base,Zena,tiger
10601265,name_type,Way,tiger
10601265,reviewed,no,tiger
10601269,highway,residential,regular
10601269,name,Boise Avenue,regular
10601269,cfcc,A41,tiger
10601269,county,"Stanislaus, CA",tiger
10601269,name_base,Boise,tiger
10601269,name_type,Ave,tiger
10601269,reviewed,no,tiger
10601298,highway,residential,regular
10601298,name,Carol Lane,regular
10601298,cfcc,A41,tiger
10601298,county,"Stanislaus, CA",tiger
10601298,name_base,Carol,tiger
10601298,name_type,Ln,tiger
10601298,reviewed,no,tiger
10601316,highway,residential,regular
10601316,name,Avenida Real,regular
10601316,cfcc,A41,tiger
10601316,county,"Stanislaus, CA",tiger
10601316,name_base,Avenida Real,tiger
10601316,reviewed,no,tiger
10601320,highway,residential,regular
10601320,name,Gail Court,regular
10601320,cfcc,A41,tiger
10601320,county,"Stanislaus, CA",tiger
10601320,name_base,Gail,tiger
10601320,name_type,Ct,tiger
10601320,reviewed,no,tiger
10601321,highway,residential,regular
10601321,name,Arthur Way,regular
10601321,cfcc,A41,tiger
10601321,county,"Stanislaus, CA",tiger
10601321,name_base,Arthur,tiger
10601321,name_type,Way,tiger
